track_id,title,alt_title,ethnic_group,subgroup,region,language,primary_theme,secondary_theme,emotion,secondary_emotion,usage_scene,imagery_keywords,performance_form,tempo,cultural_context,retrieval_notes,uncertainty_note,source_type,source_url,confidence_level,license_note,recording_type,audio_path,video_path
TB_01,驮盐歌,Salt-Carrying Song,藏族,,西藏自治区那曲市（尼玛县文部乡境内）,Tibetan (bod),migration,courtship,melancholic,yearning,labor,salt;plateau;yak;caravan;highland,solo,medium,藏族拉伊（那曲拉伊）是国家级非物质文化遗产扩展项目（编号Ⅱ-21，2014年第四批），主体为歌颂爱情的山歌，劳动歌（驮盐歌、打青稞歌等）为其附属内容。《驮盐歌》反映藏北牧民驮盐商队长途跋涉的生计劳动，同时那曲拉伊整体是藏北先民迁徙、劳动、生存的口传历史。,适合检索藏族劳动歌、驮盐商队、高原生计音乐、那曲民歌、藏北口传历史等关键词。,那曲拉伊主体为爱情山歌，《驮盐歌》属劳动歌附属类别；primary_theme标注migration（迁徙/跋涉）系基于驮盐商队长途行旅的语义推断，emotion及tempo均为推断性标注。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12447/,medium,,song_entry,,
TB_02,打青稞歌,Barley-Threshing Song,藏族,,西藏自治区那曲市（尼玛县文部乡境内）,Tibetan (bod),agriculture,community,joyful,peaceful,labor,barley;plateau;highland;threshing;village,choral,medium,那曲拉伊劳动歌类别中的代表性曲目，反映藏北高原农牧民加工青稞的劳动场景。尼玛县属高原亚寒带气候，青稞是当地主要农作物，打青稞歌在劳动中集体演唱，具有协调劳动节奏的社会功能。,适合检索藏族劳动歌、青稞农业、高原农牧文化、那曲民歌、集体劳动歌曲等关键词。,演唱形式（独唱/合唱）无法从标题单独确认，choral系基于集体劳动歌一般形式的推断；tempo为推断性标注。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12447/,medium,,song_entry,,
NX_01,美丽的白云,Beautiful White Clouds,纳西族,,Yunnan Province; Lijiang City; Gucheng District,Naxi (nxq),nature,spirituality,peaceful,melancholic,ceremony,cloud;sky;mountain;Lijiang;jade_dragon_mountain,polyphonic,slow,纳西族白沙细乐（编号Ⅱ-152，2011年第三批国家级非遗）是器乐、声乐及舞蹈相结合的古典套曲，现存8调，《美丽的白云》为其中之一。白沙细乐历史上与送葬仪式相关，表现生离死别与怀恋缱绻之情，至少需8人合奏，旋律委婉流畅。,"Naxi classical suite movement with lyrical nature imagery. Useful for queries about Naxi ancient music, classical instrumental suites, Lijiang cultural heritage, and meditative instrumental music. Standalone emotional tone is ambiguous given the funeral-associated suite context.",《美丽的白云》作为套曲中的一调，其独立演唱时的情感基调难以与整体套曲的送葬语境完全分离；emotion标注peaceful系基于曲名及抒情风格的推断，实际演奏语境可能更为复杂。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12788.html,medium,,song_entry,,
NX_02,公主哭,Princess's Lament,纳西族,,Yunnan Province; Lijiang City; Gucheng District,Naxi (nxq),ritual,migration,melancholic,solemn,ceremony,princess;parting;sorrow;Lijiang;ancient_court,polyphonic,slow,"白沙细乐现存8调之一，表现生离死别、怀恋缱绻的情感。关于白沙细乐来源有两说：一说为元世祖临别所赠（别时谢礼""），二说为纳西族民间凭吊战争亡灵之乐。《公主哭》与送葬仪式有关联，是套曲中情感最为沉郁的乐章之一。""","Naxi classical suite movement expressing deep grief and parting. Useful for queries about mourning music, ritual farewell songs, Naxi heritage, and melancholic instrumental traditions. Origin of title is historically disputed between two theories.",《公主哭》曲名来源（元代公主说或战争亡灵说）历史上存在两种说法，暂无确考；ritual标注系基于其与送葬仪式关联的推断。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12788.html,medium,,song_entry,,
YI_01,哥唱小曲妹来学,"Brother Sings, Sister Learns",彝族,Nisu (尼苏人),Yunnan Province; Honghe Hani and Yi Autonomous Prefecture; Shiping County,Yi/Nisu (yiv),courtship,community,joyful,yearning,community_gathering,lake;boat;village;Shiping;oar,antiphonal,medium,"彝族海菜腔（编号Ⅱ-31，2006年第一批国家级非遗）是石屏县彝族尼苏人青年男女聚会时所唱的情歌，又称大攀桨""""倒扳桨""，俗称""石屏腔""。《哥唱小曲妹来学》是海菜腔代表性曲目，以男女声对唱形式展现青年男女的情感交流，歌词生动活泼。""","Yi (Nisu) antiphonal courtship song from Shiping. Useful for queries about Yi ethnic music, antiphonal singing, lake-side folk songs, and Yunnan minority courtship traditions.",antiphonal（对唱）系基于海菜腔男女对唱的核心演唱形式；tempo为推断性标注。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12481/,high,,song_entry,,
YI_02,石屏橄榄菜,Shiping Olive Vegetable,彝族,Nisu (尼苏人),Yunnan Province; Honghe Hani and Yi Autonomous Prefecture; Shiping County,Yi/Nisu (yiv),community,nature,peaceful,joyful,community_gathering,olive;Shiping;lake;village;harvest,solo,medium,彝族海菜腔代表性曲目，以石屏当地特产橄榄菜为意象，展现彝族尼苏人对家乡物产与生活的深情描绘。海菜腔在特定生态与社会文化中具有高度适应性，是石屏县最具标志性的民族文化名片之一。,"Yi (Nisu) lyrical folk song celebrating local produce and homeland. Useful for queries about place-based folk songs, Yi ethnic music, and Yunnan community songs. Performance form inferred; olive in title refers to a local pickled vegetable specialty.",《石屏橄榄菜》的具体演唱形式（独唱/对唱）无法从标题单独确认，solo系基于抒情民歌一般形式的推断；橄榄菜意象为地方特产，非植物学意义上的橄榄。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12481/,medium,,song_entry,,
EM_17,阿里郎打令,Arirang Daling,朝鲜族,,Jilin Province; Yanbian Korean Autonomous Prefecture,Korean (kor),courtship,migration,yearning,melancholic,community_gathering,mountain_pass;lover;longing;homeland;journey,solo,medium,Ⅱ-147 (3rd batch 2011); Protected by Yanbian Cultural Arts Research Center. Also recognized as UNESCO ICH by South Korea (2012) and North Korea (2014) for related Arirang traditions.,"Lyrical folk song of ethnic Koreans in China centered on love and longing across the symbolic Arirang mountain pass. Useful for queries about Korean diaspora music, yearning emotion, migration narrative, and cross-border intangible heritage.",,intangible_heritage_registry,https://www.ihchina.cn/project_details/12783/,high,,song_entry,,
EM_18,耶老歌,,侗族,,Guizhou Province; Qiandongnan Miao and Dong Autonomous Prefecture; Liping County,Dong (doc),community,storytelling,solemn,peaceful,community_gathering,drum_tower;village;ancestors;night;gathering,choral,slow,Ⅱ-28; UNESCO ICH 2009. Listed as a representative repertoire item of Dong Grand Song (Gal Lao).,"Representative Dong Grand Song repertoire item with ancestral and community theme. Useful for queries about Dong choral tradition, polyphonic folk music, UNESCO heritage, and solemn community songs.",secondary_theme normalized from 'storytelling' to 'storytelling',intangible_heritage_registry,https://www.ihchina.cn/project_details/20089.html,high,,song_entry,,
EM_19,嘎高胜,,侗族,,Guizhou Province; Qiandongnan Miao and Dong Autonomous Prefecture; Liping County,Dong (doc),community,festival,joyful,energetic,festival,drum_tower;village;celebration;gathering;harmony,choral,medium,Ⅱ-28; UNESCO ICH 2009. Listed as a representative repertoire item of Dong Grand Song.,"Representative Dong Grand Song repertoire item with festive character. Useful for queries about Dong choral music, festival songs, polyphonic tradition, and energetic community singing. Thematic content inferred from context.",Precise meaning of title not detailed in source; inferred as festive/praise category.,intangible_heritage_registry,https://www.ihchina.cn/project_details/20089.html,medium,,song_entry,,
EM_20,侗族琵琶歌,,侗族,,Guizhou Province; Congjiang County; Liping County; Rongjiang County,Dong (doc),courtship,storytelling,yearning,peaceful,community_gathering,pipa;village;drum_tower;moonlight;courtship,instrumental_vocal,medium,"Ⅱ-29 (3rd batch 2011 extension; original 2006). Registered in Congjiang, Rongjiang, and Liping counties.","Dong pipa-accompanied song tradition spanning courtship and narrative genres. Useful for queries about Dong ethnic music, plucked-string folk songs, courtship traditions, and storytelling music.",secondary_theme normalized from 'storytelling' to 'storytelling'. performance_form normalized from 'instrumental_vocal' to 'song_dance'. performance_form retained as 'instrumental_vocal' (original candidate value) rather than normalized to 'song_dance'; pipa-accompanied singing is more precisely described as instrumental_vocal than song_dance.,intangible_heritage_registry,https://www.ihchina.cn/project_details/12470/,high,,performance_tradition,,
EM_21,傣族章哈,,傣族,,Yunnan Province; Xishuangbanna Dai Autonomous Prefecture; also Simao (Pu'er) area,Dai (khb),storytelling,spirituality,peaceful,joyful,ceremony,temple;rice_paddy;festival;river;Buddhist_stupa,solo,medium,Ⅴ-44 (1st batch 2006). 'Zhang Ha' means both 'singer' and the performance tradition.,"Dai narrative singing tradition used across all major life ceremonies including Buddhist festivals and weddings. Useful for queries about Dai ethnic music, narrative folk performance, Buddhist festival music, and Yunnan ceremonial traditions.",primary_theme normalized from 'storytelling' to 'storytelling',intangible_heritage_registry,https://www.ihchina.cn/project_details/13665.html,high,,performance_tradition,,
EM_22,白族绕三灵（白族调/赛歌）,,白族,,Yunnan Province; Dali Bai Autonomous Prefecture; Cangshan-Erhai area,Bai (bca),ritual,community,joyful,solemn,festival,Erhai_lake;Cangshan_mountain;temple;willow;procession,antiphonal,medium,Ⅹ-41 (1st batch 2006). Classified as folk custom (民俗).,"Bai annual pilgrimage festival integrating antiphonal singing, dance, and religious ritual over 40+ km. Useful for queries about Bai ethnic music, ritual festival songs, antiphonal traditions, and Yunnan religious folk customs. No standalone named song title available from official source.",,intangible_heritage_registry,https://www.ihchina.cn/project_details/14999.html,high,,performance_tradition,,
EM_23,新疆维吾尔木卡姆艺术（十二木卡姆）,,维吾尔族,,Xinjiang Uyghur Autonomous Region; Kashgar; Hotan; Aksu; Ili,Uyghur (uig),community,spirituality,energetic,solemn,community_gathering,oasis;desert;silk_road;court;dance,ensemble,medium,Ⅱ-70 (1st batch 2006). 12 suites (~300 pieces; full performance ~20 hours).,"Uyghur grand musical suite tradition integrating song, dance, and narrative; UNESCO heritage since 2005. Useful for queries about Uyghur music, Silk Road musical traditions, Central Asian music suites, and large-scale ensemble performance.","primary_theme normalized from 'history' to 'community'. performance_form normalized from 'ensemble' to 'polyphonic'. performance_form retained as 'ensemble' (original candidate value) rather than normalized to 'polyphonic'; Muqam integrates song, dance, and multi-instrument performance, making 'ensemble' more faithful than 'polyphonic'.",intangible_heritage_registry,https://www.ihchina.cn/project_details/12595/,high,,performance_tradition,,
EM_24,藏族民歌（川西藏族山歌）,,藏族,,Sichuan Province; Aba Tibetan and Qiang Autonomous Prefecture; also Ganzi Prefecture (Luhuo County),Tibetan (bod),nature,courtship,yearning,peaceful,labor,mountain;highland;yak;sky;wind,solo,slow,"Ⅱ-115 (2nd batch 2008). Highly free-tempo, wide vocal range, improvised.","Free-tempo Tibetan mountain song tradition from western Sichuan with wide vocal range and improvisational character. Useful for queries about Tibetan folk songs, highland pastoral music, Kham Tibetan music, and endangered vocal traditions. Tempo marked slow to reflect expansive free style; actual tempo varies.",,intangible_heritage_registry,https://www.ihchina.cn/project_details/12672.html,high,,performance_tradition,,
EM_25,苗族民歌（革东苗族飞歌）,,苗族,,Guizhou Province; Jianhe County; Gedong Town; also Cengong Town and Taijiang County Shidong Town,Miao/Hmong (hmj),community,courtship,energetic,joyful,community_gathering,mountain;valley;echo;festival;open_air,solo,fast,"Ⅱ-109 (3rd batch 2011 extension). Sung in true voice (真嗓), high-pitched and penetrating, audible for several li.","High-pitched penetrating Miao mountain song tradition from Gedong with wide contextual use across labor, weddings, and festivals. Useful for queries about Miao flying song, energetic outdoor folk singing, Guizhou ethnic music, and antiphonal mountain calls.",,intangible_heritage_registry,https://www.ihchina.cn/project_details/12662/,high,,performance_tradition,,
